"","","","","","","","","","","","","","","","","","","","","","","","",""
"Círculo","","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","Total"
"","","Aveiro","Beja","Braga","Bragança","Castelo Branco","Coimbra","Évora","Faro","Guarda","Leiria","Lisboa","Portalegre","Porto","Santarém","Setúbal","Viana do Castelo","Vila Real","Viseu","RA Açores","RA Madeira","Europa","Fora da Europa",""
"Inscritos","","642086","119102","780164","134213","163578","371769","133400","381108","141065","412184","1915287","93106","1591760","377261","749090","233491","207989","335659","230082","254502","937311","609436","10813643"
"Votantes","Número","423734","76994","556358","72664","108260","242140","89387","235351","85034","273579","1319561","60668","1114945","251061","502601","142917","117058","211590","106277","149808","238605","98360","6476952"
"","% / INSC","65.99","64.65","71.31","54.14","66.18","65.13","67.01","61.75","60.28","66.37","68.90","65.16","70.04","66.55","67.09","61.21","56.28","63.04","46.19","58.86","25.46","16.14","59.90"
"Abstenção","% / INSC","34.01","35.35","28.69","45.86","33.82","34.87","32.99","38.25","39.72","33.63","31.10","34.84","29.96","33.45","32.91","38.79","43.72","36.96","53.81","41.14","74.54","83.86","40.10"
"Brancos","Número","7030","1172","9590","892","1530","4797","1252","3401","1163","5094","15712","925","14407","3868","6253","2682","1494","3302","2621","794","1381","487","89847"
"","% / VTT","1.66","1.52","1.72","1.23","1.41","1.98","1.40","1.45","1.37","1.86","1.19","1.52","1.29","1.54","1.24","1.88","1.28","1.56","2.47","0.53","0.58","0.50","1.39"
"Nulos","Número","4528","935","5162","966","1447","2558","791","2650","1290","3507","13568","614","10964","2815","4945","1534","1527","2595","1056","2703","94261","31980","192396"
"","% / VTT","1.07","1.21","0.93","1.33","1.34","1.06","0.88","1.13","1.52","1.28","1.03","1.01","0.98","1.12","0.98","1.07","1.30","1.23","0.99","1.80","39.51","32.51","2.97"
"Votos Val. Exp. (VVE)","Número","412176","74887","541606","70806","105283","234785","87344","229300","82581","264978","1290281","59129","1089574","244378","491403","138701","114037","205693","102600","146311","142963","65893","6194709"
"","% / VTT","97.27","97.26","97.35","97.44","97.25","96.96","97.71","97.43","97.12","96.86","97.78","97.46","97.72","97.34","97.77","97.05","97.42","97.21","96.54","97.67","59.92","66.99","95.64"
"ADN","Número","5754","859","9967","1576","1492","2426","838","4924","2181","4555","19087","631","19585","3509","7668","2263","2959","6617","827","2348","953","1115","102134"
"","% / VVE*","1.40","1.15","1.84","2.23","1.42","1.03","0.96","2.15","2.64","1.72","1.48","1.07","1.80","1.44","1.56","1.63","2.59","3.22","0.81","1.60","0.67","1.69","1.65"
"","md","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"B.E.","Número","17383","3393","21403","1403","4450","12371","3816","13555","2299","11748","65365","1894","51917","11207","30165","4926","2865","5846","3622","4404","6438","1844","282314"
"","% / VVE*","4.22","4.53","3.95","1.98","4.23","5.27","4.37","5.91","2.78","4.43","5.07","3.20","4.76","4.59","6.14","3.55","2.51","2.84","3.53","3.01","4.50","2.80","4.56"
"","md","0","0","0","0","0","0","0","0","0","0","2","0","2","0","1","0","0","0","0","0","0","0","5"
"CH","Número","73122","16595","93859","13220","21141","37428","17850","64081","15837","53820","224642","14810","170936","58588","102120","26639","20038","41165","16749","26304","42975","17862","1169781"
"","% / VVE*","17.74","22.16","17.33","18.67","20.08","15.94","20.44","27.95","19.18","20.31","17.41","25.05","15.69","23.97","20.78","19.21","17.57","20.01","16.32","17.98","30.06","27.11","18.88"
"","md","3","1","4","0","1","2","1","3","1","2","9","1","7","3","4","1","1","2","1","1","1","1","50"
"E","Número","344","95","515","109","100","177","81","330","184","340","1001","55","738","366","560","147","117","164","64","239","182","122","6030"
"","% / VVE*","0.08","0.13","0.10","0.15","0.09","0.08","0.09","0.14","0.22","0.13","0.08","0.09","0.07","0.15","0.11","0.11","0.10","0.08","0.06","0.16","0.13","0.19","0.10"
"","md","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"IL","Número","21671","1708","33935","1241","2961","9592","2228","10736","1910","15498","86963","1155","64065","9497","26952","5106","2380","5950","2882","5827","5719","1901","319877"
"","% / VVE*","5.26","2.28","6.27","1.75","2.81","4.09","2.55","4.68","2.31","5.85","6.74","1.95","5.88","3.89","5.48","3.68","2.09","2.89","2.81","3.98","4.00","2.88","5.16"
"","md","1","0","1","0","0","0","0","0","0","0","3","0","2","0","1","0","0","0","0","0","0","0","8"
"JPP","Número","-","-","590","-","-","185","-","623","-","-","847","-","1152","-","430","-","-","-","213","14344","560","201","19145"
"","% / VVE*","-","-","0.11","-","-","0.08","-","0.27","-","-","0.07","-","0.11","-","0.09","-","-","-","0.21","9.80","0.39","0.31","0.31"
"","md","-","-","0","-","-","0","-","0","-","-","0","-","0","-","0","-","-","-","0","0","0","0","0"
"L","Número","9519","1369","12928","727","2172","6890","1774","6492","1153","7212","72259","873","37321","6190","21553","2815","1592","3567","1817","1864","4091","697","204875"
"","% / VVE*","2.31","1.83","2.39","1.03","2.06","2.93","2.03","2.83","1.40","2.72","5.60","1.48","3.43","2.53","4.39","2.03","1.40","1.73","1.77","1.27","2.86","1.06","3.31"
"","md","0","0","0","0","0","0","0","0","0","0","2","0","1","0","1","0","0","0","0","0","0","0","4"
"MAS","Número","-","-","-","-","-","-","-","-","-","-","c.r.","-","-","-","-","-","-","-","-","-","-","-","0"
"","% / VVE*","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.00"
"","md","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0"
"MPT.A","Número","205","c.r.","675","53","-","162","41","c.r.","80","305","1151","31","-","295","438","204","-","180","-","228","120","97","4265"
"","% / VVE*","0.05","-","0.12","0.07","-","0.07","0.05","-","0.10","0.12","0.09","0.05","-","0.12","0.09","0.15","-","0.09","-","0.16","0.08","0.15","0.07"
"","md","0","-","0","0","-","0","0","-","0","0","0","0","-","0","0","0","-","0","-","0","0","0","0"
"NC","Número","-","-","535","-","-","-","-","-","-","-","-","-","790","-","-","-","-","-","-","305","510","259","2399"
"","% / VVE*","-","-","0.10","-","-","-","-","-","-","-","-","-","0.07","-","-","-","-","-","-","0.21","0.36","0.39","0.04"
"","md","-","-","0","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","0","0","0","0"
"ND","Número","1075","106","2616","328","316","578","160","782","292","739","2370","121","1786","464","1239","706","278","544","-","-","502","1454","16456"
"","% / VVE*","0.26","0.14","0.48","0.46","0.30","0.25","0.18","0.34","0.35","0.28","0.18","0.20","0.16","0.19","0.25","0.51","0.24","0.26","-","-","0.35","2.21","0.27"
"","md","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","0","0","0"
"PAN","Número","7302","943","7936","598","1427","3839","1001","6092","822","4655","32825","506","23421","3930","12865","2057","1062","2555","1659","3127","5175","2328","126125"
"","% / VVE*","1.77","1.26","1.47","0.84","1.36","1.64","1.15","2.66","1.00","1.76","2.54","0.86","2.15","1.61","2.62","1.48","0.93","1.24","1.62","2.14","3.62","3.53","2.04"
"","md","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1"
"PCP-PEV","Número","5829","11570","10130","774","2373","6819","9771","7488","1331","6625","49267","3718","26356","10346","38848","3106","1600","2905","1161","2429","2363","742","205551"
"","% / VVE*","1.41","15.45","1.87","1.09","2.25","2.90","11.19","3.27","1.61","2.50","3.82","6.29","2.42","4.23","7.91","2.24","1.40","1.41","1.13","1.66","1.65","1.13","3.32"
"","md","0","0","0","0","0","0","0","0","0","0","2","0","1","0","1","0","0","0","0","0","0","0","4"
"PCTP/MRPP","Número","1207","624","1899","-","437","-","-","-","-","-","4463","303","3446","-","2364","-","-","-","-","-","748","-","15491"
"","% / VVE*","0.29","0.83","0.35","-","0.42","-","-","-","-","-","0.35","0.51","0.32","-","0.48","-","-","-","-","-","0.52","-","0.25"
"","md","0","0","0","-","0","-","-","-","-","-","0","0","0","-","0","-","-","-","-","-","0","-","0"
"PPD/PSD.CDS-PP","Número","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","52989","-","-","52989"
"","% / VVE*","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","36.22","-","-","0.86"
"","md","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3","-","-","3"
"PPD/PSD.CDS-PP.PPM","Número","148861","12890","184493","29069","30812","74040","20051","52681","29013","96231","356973","14134","339142","68519","86320","49616","46046","76938","42352","-","33351","22470","1814002"
"","% / VVE*","36.12","17.21","34.06","41.05","29.27","31.54","22.96","22.97","35.13","36.32","27.67","23.90","31.13","28.04","17.57","35.77","40.38","37.40","41.28","-","23.33","34.10","29.28"
"","md","7","1","8","2","1","3","1","3","1","5","14","0","14","3","4","2","2","3","2","-","0","1","77"
"PPM","Número","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","451","-","-","451"
"","% / VVE*","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.31","-","-","0.01"
"","md","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","-","-","0"
"PS","Número","117369","24408","157123","21539","37067","79120","29310","59856","27094","61561","365937","20669","338110","69948","157200","40237","34660","58088","31016","29725","38063","14343","1812443"
"","% / VVE*","28.48","32.59","29.01","30.42","35.21","33.70","33.56","26.10","32.81","23.23","28.36","34.96","31.03","28.62","31.99","29.01","30.39","28.24","30.23","20.32","26.62","21.77","29.26"
"","md","5","1","6","1","2","4","1","3","1","3","15","1","13","3","7","2","2","3","2","2","1","0","78"
"PTP","Número","-","-","-","-","-","-","-","-","-","-","1323","-","-","-","393","-","-","-","-","719","-","-","2435"
"","% / VVE*","-","-","-","-","-","-","-","-","-","-","0.10","-","-","-","0.08","-","-","-","-","0.49","-","-","0.04"
"","md","-","-","-","-","-","-","-","-","-","-","0","-","-","-","0","-","-","-","-","0","-","-","0"
"R.I.R.","Número","1924","180","2230","169","367","731","273","1073","289","1136","2846","176","9163","951","1323","624","319","832","123","725","452","186","26092"
"","% / VVE*","0.47","0.24","0.41","0.24","0.35","0.31","0.31","0.47","0.35","0.43","0.22","0.30","0.84","0.39","0.27","0.45","0.28","0.40","0.12","0.50","0.32","0.28","0.42"
"","md","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"VP","Número","611","147","772","-","168","427","150","587","96","553","2962","53","1646","568","965","255","121","342","115","283","761","272","11854"
"","% / VVE*","0.15","0.20","0.14","-","0.16","0.18","0.17","0.26","0.12","0.21","0.23","0.09","0.15","0.23","0.20","0.18","0.11","0.17","0.11","0.19","0.53","0.41","0.19"
"","md","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"","","","","","","","","","","","","","","","","","","","","","","","",""
"% - percentagem","","","","","","","","","","","","","","","","","","","","","","","",""
"INSC - inscritos; VTT - votantes; VVE - votos validamente expressos","","","","","","","","","","","","","","","","","","","","","","","",""
"* nos termos da alínea e) do artigo 115.° da LEAR","","","","","","","","","","","","","","","","","","","","","","","",""
"md - número de mandatos","","","","","","","","","","","","","","","","","","","","","","","",""
"c.r. - candidatura rejeitada","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"MPT.A - ALIANÇA 21","","","","","","","","","","","","","","","","","","","","","","","",""
"ADN - ALTERNATIVA DEMOCRÁTICA NACIONAL","","","","","","","","","","","","","","","","","","","","","","","",""
"B.E. - Bloco de Esquerda","","","","","","","","","","","","","","","","","","","","","","","",""
"CH - CHEGA","","","","","","","","","","","","","","","","","","","","","","","",""
"E - Ergue-te","","","","","","","","","","","","","","","","","","","","","","","",""
"IL - Iniciativa Liberal","","","","","","","","","","","","","","","","","","","","","","","",""
"JPP - Juntos Pelo Povo","","","","","","","","","","","","","","","","","","","","","","","",""
"L - LIVRE","","","","","","","","","","","","","","","","","","","","","","","",""
"MAS - Movimento Alternativa Socialista","","","","","","","","","","","","","","","","","","","","","","","",""
"MPT - Partido da Terra","","","","","","","","","","","","","","","","","","","","","","","",""
"NC - Nós, Cidadãos!","","","","","","","","","","","","","","","","","","","","","","","",""
"ND - NOVA DIREITA","","","","","","","","","","","","","","","","","","","","","","","",""
"PAN - PESSOAS - ANIMAIS - NATUREZA","","","","","","","","","","","","","","","","","","","","","","","",""
"PCP-PEV - CDU - Coligação Democrática Unitária","","","","","","","","","","","","","","","","","","","","","","","",""
"PCTP/MRPP - Partido Comunista dos Trabalhadores Portugueses","","","","","","","","","","","","","","","","","","","","","","","",""
"PPD/PSD - Partido Social Democrata","","","","","","","","","","","","","","","","","","","","","","","",""
"PPD/PSD.CDS-PP - MADEIRA PRIMEIRO","","","","","","","","","","","","","","","","","","","","","","","",""
"PPD/PSD.CDS-PP.PPM - ALIANÇA DEMOCRÁTICA","","","","","","","","","","","","","","","","","","","","","","","",""
"PPM - Partido Popular Monárquico","","","","","","","","","","","","","","","","","","","","","","","",""
"PS - Partido Socialista","","","","","","","","","","","","","","","","","","","","","","","",""
"PTP - Partido Trabalhista Português","","","","","","","","","","","","","","","","","","","","","","","",""
"R.I.R. - Reagir Incluir Reciclar","","","","","","","","","","","","","","","","","","","","","","","",""
"VP - Volt Portugal","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"Observações:","","","","","","","","","","","","","","","","","","","","","","","",""
"1. Círculo eleitoral de Aveiro - verificando-se discrepância no valor total de votos validamente expressos registado na ata de apuramento geral, assumiu-se o valor que resulta da necessária correção material.","","","","","","","","","","","","","","","","","","","","","","","",""
"2. Círculo eleitoral de Fora da Europa – não sendo o número de inscritos suscetível de verificação e constando-se discrepância no número registado na ata de apuramento geral em resultado de errada transmissão da informação, assumiu-se o valor que consta da base de dados do recenseamento eleitoral.","","","","","","","","","","","","","","","","","","","","","","","",""
"3. Os somatórios das percentagens nalguns casos divergem da centena, em uma ou duas centésimas, por força dos arredondamentos parcelares. ","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"Comissão Nacional de Eleições, 22 de março de 2024. - O Presidente, Juiz Conselheiro José Vítor Soreto de Barros.","","","","","","","","","","","","","","","","","","","","","","","",""
